id,name,banner_photo_url,found_at
1,Some Club Name,someclubnameurl,
2,another club name,aaaaaaaaaaa,
3,"Garcia, Nixon and Gibson",,2011-04-26
4,Holmes-Tate,,1921-01-13
5,"Short, Stewart and Lamb",,1930-06-20
6,Harding-Marquez,,1990-10-05
7,Jones LLC,,1913-09-19
8,Torres and Sons,,1923-11-20
9,Taylor Inc,,1932-12-13
10,Walker Inc,,1962-12-25
11,Allen-Harris,,1987-07-17
12,"Gardner, Garza and Hanson",,1990-06-12
13,Smith-King,,1966-09-08
14,Salazar Inc,,1949-12-30
15,Santana-Powell,,1994-07-02
16,Huynh-Smith,,2022-02-23
17,"Davis, Lyons and Ryan",,1917-08-17
18,Steele-Cole,,1929-04-10
19,Mclaughlin and Sons,,1965-04-14
20,Landry-Sullivan,,1959-05-23
21,Gomez-Tucker,,2021-06-21
22,Wilson-Stevens,,1953-12-13
